x,y,z,x_vel,y_vel,alpha,beta,z_vel,delay,score
0.063,0.008,0.223,-11.003,-12.338,-0.0016937843516869,-3.678677049611593,0.6012568650757417,33.85812772837991,0.9421669814219662
0.084,-0.139,0.338,-5.253,1.806,-6.798381743892949,-3.827339451775466,0.5277115578198637,42.50499934243466,0.9700182030999877
0.083,0.004,0.355,-0.291,0.274,0.0004285091126348,-4.138202071888168,0.484902197961931,45.78764547837971,0.958470851399028
0.138,-0.145,0.329,-4.261,-0.879,-4.835699088673914,-6.39202805805078,0.538117265188806,41.109630704693885,0.8652883235236426
0.028,0.116,0.202,-25.068,-30.523,4.326171584181688,0.0002252275744286,0.7049651767876346,31.878377502840703,0.9664311516026662
-0.062,0.068,0.104,-16.798,-14.973,5.6159912881800285,7.221503564062458,0.6939857903937425,11.676059169402414,0.9013843320308622
0.079,0.147,0.376,-0.312,-12.33,6.18161346815422,-3.723948569185717,0.4931413859961399,45.15951865737728,0.9697009735079808
-0.023,0.051,0.314,-4.509,0.284,2.907377128492013,0.0011472370652294,0.4857620768387954,41.324584851260944,0.8979611162429668
0.041,0.057,0.356,-3.557,9.426,3.643507927661905,0.00063034952614,0.4570044054091652,44.91897635290835,0.8767721042238197
-0.05,0.023,0.178,0.381,-0.828,0.0012293433897576,3.291910855346332,0.8777934802153188,29.73536058353957,0.9421895241100764
0.099,0.051,0.202,0.35,-12.342,2.881954187938889,-6.157982853894735,0.6683027635340112,30.999356297219776,0.9474844515441924
0.076,0.071,0.211,-4.289,-8.051,4.3765699822973145,-4.972828240037745,0.5454605281940069,29.84235039339017,0.9166463669129152
-0.079,0.07,0.264,-4.649,-5.043,5.125092533640936,5.125151710627904,0.7174685352128642,37.99845954927896,0.8793117293826299
-0.058,0.03,0.162,-0.48,14.756,3.7312942799317295,5.579780703930323,0.545468306923101,22.664766400288222,0.8886867626395843
0.11,-0.028,0.081,2.95,-20.934,-3.053976140745684,-10.02971824426196,0.9691757266728231,9.653414242884304,0.9131852042331672
0.076,0.134,0.285,11.616,9.887,10.674401590870634,-4.543303449767299,0.7101672667832729,39.966245856674064,0.9576818164220692
-0.148,-0.023,0.207,5.646,11.212,0.0001091528043916,9.917821953122283,0.7214215168756131,30.13206752566252,0.948615315343253
0.131,-0.003,0.156,-3.016,-3.209,0.0001677809267495,-9.119507522037754,0.6690350550576738,21.75904842380822,0.927002825337076
-0.101,-0.031,0.221,-0.917,-11.704,-3.0228597383018885,7.30174282623527,0.5001137576445207,29.45919017014466,0.9118077505493304
0.091,0.113,0.397,-3.324,1.237,5.3056981781510935,-4.1721636255972765,0.4500696331348637,47.01392204386018,0.9666751467803476
0.049,-0.084,0.218,10.465,1.081,-6.0828060816736285,-4.243285200193991,0.5015067863566436,29.64399372644984,0.9115106454040048
-0.009,-0.008,0.266,-4.67,5.248,-6.99250957779755e-05,0.0001508328681169,0.7062445236251862,41.00004518987535,0.9397769231810028
0.112,-0.022,0.277,0.647,-6.621,1.1924420177884497e-05,-5.665509322481068,0.7514291262488202,41.60237940075526,0.9033459445492305
-0.027,-0.128,0.113,-9.935,3.496,-11.57867385661265,3.3630577725552624,0.673554326359065,10.807621898839304,0.9199983173246424
-0.044,0.0,0.358,3.318,-10.831,-0.0001030199636551,0.0003580526868365,0.4550226710134939,44.00001268291972,0.8325096660148397
-0.074,0.041,0.171,0.498,-3.376,0.0004567768799847,4.630867503042126,0.890965199349103,28.54159415275437,0.8915479924084884
-0.133,-0.043,0.288,4.501,-6.908,-2.6089157250388384,6.5747940309209145,0.6758821155943574,40.523924850478025,0.995292227168428
-0.134,0.014,0.402,12.299,-0.342,-0.0002866377419381,5.924269778007707,0.4637532860733337,47.28648997294265,0.932186813249169
0.017,-0.136,0.243,-7.513,-1.903,-8.851458316288902,-8.564907809792345e-05,0.500012373416964,31.17110201783793,0.9077328844800036
0.133,0.047,0.146,6.145,-8.378,5.087365547736784,-9.880625629787072,0.8910809875330246,19.67496657032993,0.8865559123095321
0.142,0.013,0.199,-5.96,4.103,0.0005017374335031,-8.623265225368684,0.7351816601191274,27.34105603247184,0.8898955500717947
-0.038,0.106,0.148,-10.418,-0.978,7.938668566185546,3.5668101578165112,0.8264473872740055,20.744320466155187,0.9337788181171705
0.127,-0.065,0.395,4.562,-3.848,-3.460769576239838,-6.518329755860484,0.5064033512847794,47.79967965485521,0.979004726980892
0.091,0.011,0.245,-3.47,-15.196,0.0002904477334713,-4.702971254048268,0.724377254169241,38.57877767165853,0.9708150600558354
-0.145,-0.01,0.193,3.385,13.032,6.67488997384561e-05,9.205128640959629,0.7704336374941712,27.665088938465544,0.9389858261228488
0.087,0.105,0.097,-26.111,4.112,8.44511711603625,-5.20002727938922,0.9107324831198172,9.88696016988574,0.9849599836577584
0.008,0.053,0.189,11.152,2.553,3.993535987880354,0.0008731131776177,0.6683627451900254,29.50490643427829,0.9160142151091782
0.082,0.129,0.316,9.535,0.698,7.168282702996939,-5.153777765517761,0.5195861623972238,39.622063204989104,0.9542769486845522
-0.121,-0.054,0.371,4.335,-8.913,-3.344632166471714,6.000148421555778,0.4890577597980036,45.83747955569295,0.9722023665749456
-0.026,0.136,0.21,11.957,-8.27,8.643780481767138,8.440613420111884e-05,0.7836621561948175,30.92966212767771,0.8932658632977133
-0.054,-0.085,0.268,9.693,0.564,-4.957567058541179,0.0001561315794036,0.6683456001307471,39.00224030393711,0.8703668747675604
-0.118,0.029,0.186,15.436,-6.784,-0.0001099536599169,5.873120140982756,0.8717548120629348,29.15077538359484,0.9367454416604816
-0.099,0.106,0.156,6.126,8.923,7.849518869506108,6.424147656506497,0.698094844965601,20.20694164737247,0.9407697872450812
-0.098,0.092,0.267,18.754,-10.247,3.960251934219465,3.768074720300337,0.7577955094034132,39.00564446215684,0.9912153582348836
0.091,-0.035,0.398,1.843,-14.183,-2.74191359806383,-5.048448278384257,0.4590662592185999,47.85018175593001,0.9668414421730084
0.045,0.073,0.33,1.611,-7.612,3.885394596390059,0.0005299633952113,0.4853511152885467,42.69032052048652,0.8443761570569092
0.109,0.136,0.184,9.284,4.231,10.517399207853934,-8.910338093773744,0.5001274757349109,19.202278270466262,0.914560820501767
-0.022,-0.075,0.283,-3.546,-25.392,-5.753966253548935,0.0002169143587236,0.6683131714219696,40.607294945065576,0.927780954748778
0.126,0.147,0.248,4.643,-7.646,6.797686681749829,-6.0951922642760685,0.6800159072453318,34.00002923655409,0.975237198753368
-0.134,0.01,0.099,6.824,-11.602,0.0001127812714371,10.060211964503187,0.8999735929163117,10.230882318055624,0.9878163035077164
0.043,0.061,0.187,-2.907,6.16,4.199735150482899,-2.64506153376006,0.857788611546928,30.724485831050128,0.9868076591425682
-0.14,0.132,0.332,1.856,-23.302,4.3899187380110725,5.838741791855332,0.5569251927066738,43.49106187480098,0.9790576307928006
0.02,-0.066,0.265,-3.307,6.604,-3.3881146136217355,0.0008347154963749,0.7287100159131976,40.96845535059232,0.9456661095886236
-0.071,-0.074,0.418,7.498,-21.377,-4.945448972895076,3.1586390536727382,0.4379170910907618,48.14582553889065,0.972741445444702
-0.057,0.15,0.395,3.68,-5.002,6.453964444539913,2.3425318566600595,0.5762909793221637,49.05190388837119,0.9936987645565436
0.017,-0.14,0.205,-19.529,-0.754,-15.710614282876644,8.643559624025259e-05,0.7268484756754691,29.071381703985978,0.9388401408615332
0.015,-0.132,0.289,7.797,-2.244,-7.1129111649906775,-0.0013215044469278,0.6601418473283202,39.30882983456839,0.9098412630509364
0.014,0.105,0.314,14.622,1.535,6.218113680778405,-0.0008420120425543,0.483929780426472,40.07631115471542,0.8982411920728358
0.116,-0.034,0.109,8.029,6.819,-3.062862676627228,-11.452888387309994,0.7815319892987339,10.999920447665168,0.9297189532571044
-0.139,-0.015,0.169,9.267,12.797,4.060268905647176e-05,9.800446545348706,0.5000183576893781,20.96230722488414,0.8882507755391744
-0.045,0.071,0.301,9.369,-5.297,3.977827690593068,0.000299817615183,0.519987043894112,40.45496531912083,0.8731619080458192
0.082,0.082,0.103,-21.631,-5.824,6.087555748236953,-4.973435145352758,0.7538217098194893,11.028094488442123,0.8964647691743102
0.108,0.114,0.392,3.905,16.511,5.028917090020967,-5.377131470746239,0.4928628268093793,47.68408595487895,0.9271835683225405
-0.041,-0.03,0.171,7.496,4.119,-0.0002779336682612,0.00038904471721,0.8910565204839631,29.55257247937188,0.8378993661357248
0.097,-0.079,0.127,-13.125,-1.506,-5.098252684712701,-5.48160937864408,0.8855363515395158,19.50088165678308,0.9979539342554212
0.091,-0.105,0.265,0.77,2.029,-5.408180767358596,-4.815894702781796,0.7438874565029057,38.236638168189735,0.9890256108749724
0.005,0.082,0.342,-1.279,13.988,5.490297567870761,-0.0002597042715581,0.4540354109178028,42.66876662771649,0.9468831226638502
0.101,0.033,0.368,3.949,16.92,2.783580181577501,-5.775119490485437,0.4892657603589918,45.61194377426859,0.971092905831919
-0.066,-0.009,0.084,-3.721,0.924,-0.0010327335823841,6.257070172623712,1.0496399266272505,10.150557988051172,0.9729032156529672
-0.02,0.13,0.282,1.111,-10.797,6.051314542977046,-0.0005703807457651,0.6683072152497179,40.596507947158095,0.9516224618708652
0.089,0.095,0.381,-1.657,4.966,5.309727737001809,-4.577249186734431,0.4568947514789987,45.72842420771808,0.9671035245952824
-0.088,0.07,0.382,-1.673,1.011,4.074194709656641,5.12908034130751,0.455591820123558,45.24945829594853,0.9539972711169472
-0.074,0.083,0.342,-3.643,-6.663,4.457655738363933,4.584038305744378,0.4838156750019103,42.53091186921714,0.944985461565873
